POP_SIZE,MAX_GEN,CROSSOVER_RATE,BASE_MUT_RATE,STAGNANT_LIMIT,avg_fitness,std_fitness
10,10,0.6,0.35,50,42.25202219479453,0.09096642309622271
10,10,0.6,0.4,5,42.31307486047672,0.10818559922129307
10,10,0.6,0.4,10,42.25202219479453,0.11680062684788331
10,10,0.6,0.4,20,42.190969529112344,0.14370090830413387
10,10,0.6,0.4,30,42.25202219479453,0.14421875109329022
10,10,0.6,0.4,40,42.36191699302247,0.03956664952328951
10,10,0.6,0.4,50,42.22149586195343,0.09957388435306422
10,10,0.6,0.45,5,42.25202219479453,0.10784050871139449
10,10,0.6,0.45,10,42.18486426254412,0.0767420107848665
10,10,0.6,0.45,20,42.214061147529854,0.11266794733465195
10,10,0.6,0.45,30,42.22149586195343,0.06043905547874964
10,10,0.6,0.45,40,42.17021162278039,0.08752491073220318
10,10,0.6,0.45,50,42.258127461362754,0.09957388435306161
10,10,0.6,0.5,5,42.19161118469179,0.13354337151829448
10,10,0.6,0.5,10,42.166548462839465,0.1413471400835216
10,10,0.6,0.5,20,42.194632689053265,0.12605860142710665
10,10,0.6,0.5,30,42.184864262544124,0.12718898326172656
10,10,0.6,0.5,40,42.08107473088439,0.02284381575319771
10,10,0.6,0.5,50,42.15032691495755,0.04796568465351192
10,10,0.8,0.01,5,42.058021618312615,0.02925661913612735
10,10,0.8,0.01,10,42.019426832801656,0.03496509657977076
10,10,0.8,0.01,20,42.032232598338645,0.053920254355694024
10,10,0.8,0.01,30,42.140805866044396,0.127597874950071
10,10,0.8,0.01,40,42.041669004709604,0.2713947271185333
10,10,0.8,0.01,50,42.050548398043304,0.07477393917904503
10,10,0.8,0.05,5,42.093285264020835,0.056617912966968865
10,10,0.8,0.05,10,42.044443131475084,0.022843815753200877
10,10,0.8,0.05,20,42.160443196271245,0.12241021406461057
10,10,0.8,0.05,30,42.068864197747956,0.0
10,10,0.8,0.05,40,42.06275893117974,0.04807291703109794
10,10,0.8,0.05,50,42.19096952911233,0.09614583406219349
10,10,0.8,0.1,5,42.18597692131604,0.1258565038531383
10,10,0.8,0.1,10,42.12991686343015,0.1348697467042845
10,10,0.8,0.1,20,42.106608455929184,0.016336467448985804
10,10,0.8,0.1,30,42.09694842396177,0.01922916681244303
10,10,0.8,0.1,40,42.17631688934861,0.10974545690494268
10,10,0.8,0.1,50,42.12150847328892,0.12484165556634284
10,10,0.8,0.15,5,42.12381159686193,0.039566649523285126
10,10,0.8,0.15,10,42.11770633029371,0.03113087336703257
10,10,0.8,0.15,20,42.160443196271245,0.09096642309622414
10,10,0.8,0.15,30,42.15189582307574,0.10537909402996645
10,10,0.8,0.15,40,42.123811596861934,0.014954787835811324
10,10,0.8,0.15,50,42.15800108964396,0.16508171157893795
10,10,0.8,0.2,5,42.300864327340285,0.01726830156535212
10,10,0.8,0.2,10,42.20028170627523,0.07344342757148721
10,10,0.8,0.2,20,42.07974528302903,0.04665246256301787
10,10,0.8,0.2,30,42.24898485576669,0.11482709132366882
10,10,0.8,0.2,40,42.18608531585776,0.10481162036241515
10,10,0.8,0.2,50,42.267895887871894,0.05724643819560657
10,10,0.8,0.25,5,42.200737955621484,0.11459700817844512
10,10,0.8,0.25,10,42.18486426254412,0.10179513644366767
10,10,0.8,0.25,20,42.25202219479453,0.05180490469607311
10,10,0.8,0.25,30,42.15189582307574,0.10037919771641764
10,10,0.8,0.25,40,42.23335854028532,0.10379028195367522
10,10,0.8,0.25,50,42.25812746136274,0.09497565860945675
10,10,0.8,0.3,5,42.300864327340285,0.01726830156535212
10,10,0.8,0.3,10,42.209285328816996,0.06743487335214225
10,10,0.8,0.3,20,42.16410635621218,0.12840233436998602
10,10,0.8,0.3,30,42.276443261067406,0.09014318061531446
10,10,0.8,0.3,40,42.33139066018137,0.008634150782682759
10,10,0.8,0.3,50,42.12321636446138,0.04012277392484654
10,10,0.8,0.35,5,42.24058438295864,0.07341647584061194
10,10,0.8,0.35,10,42.294759060772066,0.12087811095749498
10,10,0.8,0.35,20,42.17021162278039,0.022448792034963527
10,10,0.8,0.35,30,42.21539059538522,0.11680062684788295
